都道府県名,市区町村名,開設局数,25/12,25/11,25/10,25/09,25/08,25/07,25/06,25/05,25/04,25/03,25/02,25/01,24/12,24/11,24/10,24/09,24/08,24/07,24/06,24/05,24/04,24/03,24/02,24/01,23/12,23/11,23/10,23/09,23/08,23/07,23/06,23/05,23/04,23/03,23/02,23/01,22/12,22/11,22/10,22/09,22/08,22/07,22/06,22/05,22/04,22/03,22/02,22/01,21/12,21/11
京都府,綴喜郡宇治田原町,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
京都府,相楽郡笠置町,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
京都府,相楽郡和束町,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
京都府,相楽郡精華町,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,1,1,0,1,0,0,0
京都府,相楽郡南山城村,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
京都府,船井郡京丹波町,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,4,1,0,1,3,1,0,1,0,0,0,1,1,0,0
京都府,与謝郡伊根町,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
京都府,与謝郡与謝野町,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,2,0,2,0,1,1,0,0,1,0
大阪府,大阪府,3603,0,-8,4,19,14,21,1,3,14,10,5,-1,0,8,0,9,27,25,3,29,5,23,23,18,24,23,42,25,35,31,42,46,64,119,31,28,47,48,49,65,71,86,73,78,81,125,110,87,38,4
大阪府,大阪市都島区,53,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,6,0,0,0,1,0,0,0,0,1,1,1,0,3,1,1,1,2,2,0,0,0,3,2,0,0,2,0,0,0,0
